Ps,Trial ,Score,Age
10,2,76.15747535,61-80
10,3,67.51596082,61-80
10,4,124.0297273,61-80
10,5,150.0253489,61-80
11,1,37.89949494,61-80
11,2,83.33562093,61-80
11,3,121.6712419,61-80
11,4,97.12803809,61-80
11,5,166.0112412,61-80
12,1,31.8743318,61-80
12,2,77.33294513,61-80
12,3,71.78921316,61-80
12,4,95.10126576,61-80
12,5,145.2046011,61-80
13,1,33.97056275,61-80
13,2,79.39354332,61-80
13,3,175.917743,61-80
13,4,130.1528797,61-80
13,5,242.4801732,61-80
14,1,31.20663073,61-80
14,2,80.6296113,61-80
14,3,56.72354365,61-80
14,4,182.3096669,61-80
14,5,280.8160976,61-80
15,1,35.38477631,61-80
15,2,83.20663073,61-80
15,3,180.3607315,61-80
15,4,149.2342607,61-80
15,5,254.3494013,61-80
16,1,35.42683078,61-80
16,2,87.63623072,61-80
16,3,282.5884355,61-80
16,4,133.2815589,61-80
16,5,609.2467065,61-80
17,1,32.20663073,61-80
17,2,77.85638406,61-80
17,3,168.2499274,61-80
17,4,212.8647272,61-80
17,5,126.7936594,61-80
18,1,32.61427158,61-80
18,2,187.2647287,61-80
18,3,176.9783777,61-80
18,4,163.9182712,61-80
18,5,138.3882128,61-80
19,1,35.97056275,61-80
19,2,80.22319156,61-80
19,3,57.13775722,61-80
19,4,265.4344869,61-80
19,5,148.4056826,61-80
